scope,venue,metric,bucket,n,mean,std,min,p01,p05,p10,p25,p50,p75,p90,p95,p99,max
raw,binance,slice_sum5,非倒挂,1241518,872.0487424873496,1620.8338512097848,64.64555,124.2839644,173.94432700000002,220.64539000000002,337.62005,541.27464,887.2397525,1539.25288,2397.7062279999996,6384.8788,117370.66364
raw,binance,slice_sum5,倒挂,485992,1370.4311359201388,13584.605441915826,67.01977,124.23389999999999,180.12078000000002,228.64033100000003,338.39688,535.02328,913.10351,1544.0142570000012,2334.563925499999,7360.782978199916,550083.5979800001
raw,bybit5,slice_sum5,非倒挂,1241303,823.9858429221474,1498.4564206712519,46.314840000000004,146.89903220000002,224.33874500000002,285.01892,410.887115,604.79839,898.191775,1362.5822760000003,1843.0421649999996,4210.816797799996,108397.90594
raw,bybit5,slice_sum5,倒挂,485974,668.0986945155913,747.0751893405841,54.65142,155.52510909999998,223.77060049999997,266.854683,358.584035,502.05337999999995,730.3882900000001,1087.0860529999998,1496.9697399999998,3921.28776100001,53936.467130000005
merged,bn,bn_sum5,非倒挂,871950,886.9405952243131,1662.377794147778,64.64555,126.63059,179.80072049999998,228.66087900000002,347.82393,554.70735,909.0616799999999,1566.39881,2409.7289894999967,6230.5036,117370.66364
merged,by,by_sum5,非倒挂,871950,837.7382640509892,1607.4120801757642,46.314840000000004,147.32064549999998,226.40954,288.7187,416.41754,612.51188,907.56628,1376.82719,1864.5785600000002,4273.9156318000005,108397.90594
merged,bn+by_align100ms,all_sum5,非倒挂,871950,1724.6788592753032,2345.437972976837,170.54358,426.22105170000003,582.70776,689.626235,915.5826924999999,1268.2111400000001,1843.2093725,2836.6971579999995,3946.9354324999995,8951.765112199999,118113.78576
merged,bn,bn_sum5,倒挂,315593,1523.8138533230458,15200.379982996434,76.45755,126.99028360000001,186.756616,237.620808,352.00388,556.95654,942.5458000000001,1605.8709479999993,2422.3906279999865,8143.327115200016,550083.5979800001
merged,by,by_sum5,倒挂,315593,687.1320040353874,758.5365981458585,54.65142,158.3833864,228.12277999999998,273.03,368.9884,520.14516,759.11892,1118.9909900000002,1513.7086719999998,3921.66685,53936.467130000005
merged,bn+by_align100ms,all_sum5,倒挂,315593,2210.945857358434,15218.656997553837,195.63085,435.12782,570.151432,663.062146,863.0367899999999,1189.20374,1716.10872,2584.750264,3776.9307259999946,9763.611012800013,550419.05668
